date,team_1,team_1_score,team_2,team_2_score,stadium_attendance,stadium
Thu Nov 3 2016,Oklahoma City Thunder,96,Golden State Warriors,122,19596,Oracle Arena
Fri Nov 4 2016,Atlanta Hawks,92,Washington Wizards,95,14663,Verizon Center
Fri Nov 4 2016,Charlotte Hornets,99,Brooklyn Nets,95,15775,Barclays Center
Fri Nov 4 2016,Miami Heat,87,Toronto Raptors,96,19800,Air Canada Centre
Fri Nov 4 2016,New York Knicks,117,Chicago Bulls,104,22376,United Center
Fri Nov 4 2016,Los Angeles Clippers,99,Memphis Grizzlies,88,17115,FedEx Forum
Fri Nov 4 2016,Phoenix Suns,112,New Orleans Pelicans,111,15379,Smoothie King Center
Fri Nov 4 2016,Portland Trail Blazers,105,Dallas Mavericks,95,19475,American Airlines Center
Fri Nov 4 2016,San Antonio Spurs,100,Utah Jazz,86,19911,Vivint Smart Home Arena
Fri Nov 4 2016,Golden State Warriors,97,Los Angeles Lakers,117,18997,STAPLES Center
Sat Nov 5 2016,Minnesota Timberwolves,92,Oklahoma City Thunder,112,18203,Chesapeake Energy Arena
Sat Nov 5 2016,Denver Nuggets,86,Detroit Pistons,103,16218,The Palace of Auburn Hills
Sat Nov 5 2016,Chicago Bulls,94,Indiana Pacers,111,17020,Bankers Life Fieldhouse
Sat Nov 5 2016,Washington Wizards,86,Orlando Magic,88,18846,Amway Center
Sat Nov 5 2016,Cleveland Cavaliers,102,Philadelphia 76ers,101,20497,Wells Fargo Center
Sat Nov 5 2016,Houston Rockets,97,Atlanta Hawks,112,16895,Philips Arena
Sat Nov 5 2016,Sacramento Kings,91,Milwaukee Bucks,117,16021,BMO Harris Bradley Center
Sat Nov 5 2016,Los Angeles Clippers,116,San Antonio Spurs,92,18418,AT&T Center
Sun Nov 6 2016,Utah Jazz,114,New York Knicks,109,19812,Madison Square Garden (IV)
Sun Nov 6 2016,Portland Trail Blazers,100,Memphis Grizzlies,94,16233,FedEx Forum
Sun Nov 6 2016,Sacramento Kings,96,Toronto Raptors,91,19800,Air Canada Centre
Sun Nov 6 2016,Milwaukee Bucks,75,Dallas Mavericks,86,19345,American Airlines Center
Sun Nov 6 2016,Denver Nuggets,123,Boston Celtics,107,17452,TD Garden
Sun Nov 6 2016,Phoenix Suns,108,Los Angeles Lakers,119,18997,STAPLES Center
Mon Nov 7 2016,Indiana Pacers,100,Charlotte Hornets,122,16880,Spectrum Center
Mon Nov 7 2016,Utah Jazz,109,Philadelphia 76ers,84,14168,Wells Fargo Center
Mon Nov 7 2016,Houston Rockets,114,Washington Wizards,106,13173,Verizon Center
Mon Nov 7 2016,Orlando Magic,80,Chicago Bulls,112,21320,United Center
Mon Nov 7 2016,Miami Heat,85,Oklahoma City Thunder,97,18203,Chesapeake Energy Arena
Mon Nov 7 2016,New Orleans Pelicans,106,Golden State Warriors,116,19596,Oracle Arena
Mon Nov 7 2016,Detroit Pistons,82,Los Angeles Clippers,114,19060,STAPLES Center
Tue Nov 8 2016,Atlanta Hawks,110,Cleveland Cavaliers,106,20562,Quicken Loans Arena
Tue Nov 8 2016,Minnesota Timberwolves,110,Brooklyn Nets,119,13610,Barclays Center
Tue Nov 8 2016,Denver Nuggets,107,Memphis Grizzlies,108,15109,FedEx Forum
Tue Nov 8 2016,Phoenix Suns,121,Portland Trail Blazers,124,19239,Moda Center
Tue Nov 8 2016,Dallas Mavericks,109,Los Angeles Lakers,97,18997,STAPLES Center
Tue Nov 8 2016,New Orleans Pelicans,94,Sacramento Kings,102,17608,Golden 1 Center
Wed Nov 9 2016,Utah Jazz,98,Charlotte Hornets,104,15712,Spectrum Center
Wed Nov 9 2016,Philadelphia 76ers,115,Indiana Pacers,122,15360,Bankers Life Fieldhouse
Wed Nov 9 2016,Brooklyn Nets,96,New York Knicks,110,19812,Madison Square Garden (IV)
Wed Nov 9 2016,Minnesota Timberwolves,123,Orlando Magic,107,17102,Amway Center
Wed Nov 9 2016,Boston Celtics,93,Washington Wizards,118,12675,Verizon Center
Wed Nov 9 2016,Chicago Bulls,107,Atlanta Hawks,115,16354,Philips Arena
Wed Nov 9 2016,Toronto Raptors,112,Oklahoma City Thunder,102,18203,Chesapeake Energy Arena
Wed Nov 9 2016,Detroit Pistons,100,Phoenix Suns,107,16719,Talking Stick Resort Arena
Wed Nov 9 2016,Houston Rockets,101,San Antonio Spurs,99,18418,AT&T Center
Wed Nov 9 2016,Dallas Mavericks,95,Golden State Warriors,116,19596,Oracle Arena
Wed Nov 9 2016,Portland Trail Blazers,80,Los Angeles Clippers,111,19060,STAPLES Center
Thu Nov 10 2016,Chicago Bulls,98,Miami Heat,95,19600,AmericanAirlines Arena
Thu Nov 10 2016,New Orleans Pelicans,112,Milwaukee Bucks,106,12159,BMO Harris Bradley Center
Thu Nov 10 2016,Golden State Warriors,125,Denver Nuggets,101,17569,Pepsi Center
Thu Nov 10 2016,Los Angeles Lakers,101,Sacramento Kings,91,17608,Golden 1 Center
Fri Nov 11 2016,Toronto Raptors,113,Charlotte Hornets,111,18107,Spectrum Center
Fri Nov 11 2016,Utah Jazz,87,Orlando Magic,74,18846,Amway Center
Fri Nov 11 2016,Indiana Pacers,105,Philadelphia 76ers,109,17643,Wells Fargo Center
Fri Nov 11 2016,Cleveland Cavaliers,105,Washington Wizards,94,20356,Verizon Center
Fri Nov 11 2016,New York Knicks,87,Boston Celtics,115,18624,TD Garden
Fri Nov 11 2016,Los Angeles Clippers,110,Oklahoma City Thunder,108,18203,Chesapeake Energy Arena
Fri Nov 11 2016,Detroit Pistons,86,San Antonio Spurs,96,18418,AT&T Center
Fri Nov 11 2016,Sacramento Kings,120,Portland Trail Blazers,122,19918,Moda Center
Sat Nov 12 2016,Boston Celtics,105,Indiana Pacers,99,17923,Bankers Life Fieldhouse
Sat Nov 12 2016,Los Angeles Lakers,126,New Orleans Pelicans,99,17138,Smoothie King Center
Sat Nov 12 2016,Philadelphia 76ers,96,Atlanta Hawks,117,17399,Philips Arena
Sat Nov 12 2016,New York Knicks,107,Toronto Raptors,118,19800,Air Canada Centre
Sat Nov 12 2016,Washington Wizards,95,Chicago Bulls,106,21962,United Center
Sat Nov 12 2016,San Antonio Spurs,106,Houston Rockets,100,18055,Toyota Center
Sat Nov 12 2016,Utah Jazz,102,Miami Heat,91,19600,AmericanAirlines Arena
Sat Nov 12 2016,Los Angeles Clippers,119,Minnesota Timberwolves,105,14494,Target Center
Sat Nov 12 2016,Memphis Grizzlies,96,Milwaukee Bucks,106,14327,BMO Harris Bradley Center
Sat Nov 12 2016,Detroit Pistons,106,Denver Nuggets,95,13997,Pepsi Center
Sat Nov 12 2016,Brooklyn Nets,122,Phoenix Suns,104,17126,Talking Stick Resort Arena
Sun Nov 13 2016,Charlotte Hornets,93,Cleveland Cavaliers,100,20562,Quicken Loans Arena
Sun Nov 13 2016,Los Angeles Lakers,99,Minnesota Timberwolves,125,14432,Target Center
Sun Nov 13 2016,Orlando Magic,119,Oklahoma City Thunder,117,18203,Chesapeake Energy Arena
Sun Nov 13 2016,Phoenix Suns,120,Golden State Warriors,133,19596,Oracle Arena
Sun Nov 13 2016,Denver Nuggets,105,Portland Trail Blazers,112,19362,Moda Center
Mon Nov 14 2016,Orlando Magic,69,Indiana Pacers,88,14825,Bankers Life Fieldhouse
Mon Nov 14 2016,Oklahoma City Thunder,88,Detroit Pistons,104,14172,The Palace of Auburn Hills
Mon Nov 14 2016,Dallas Mavericks,77,New York Knicks,93,19812,Madison Square Garden (IV)
Mon Nov 14 2016,Philadelphia 76ers,88,Houston Rockets,115,13183,Toyota Center
Mon Nov 14 2016,Boston Celtics,105,New Orleans Pelicans,106,15001,Smoothie King Center
Mon Nov 14 2016,Miami Heat,90,San Antonio Spurs,94,18418,AT&T Center
Mon Nov 14 2016,Memphis Grizzlies,102,Utah Jazz,96,18176,Vivint Smart Home Arena
Mon Nov 14 2016,Brooklyn Nets,95,Los Angeles Clippers,127,19060,STAPLES Center
Tue Nov 15 2016,Toronto Raptors,117,Cleveland Cavaliers,121,20562,Quicken Loans Arena
Tue Nov 15 2016,Atlanta Hawks,93,Miami Heat,90,19600,AmericanAirlines Arena
Tue Nov 15 2016,Charlotte Hornets,115,Minnesota Timberwolves,108,10349,Target Center
Tue Nov 15 2016,Chicago Bulls,113,Portland Trail Blazers,88,19393,Moda Center
Tue Nov 15 2016,Brooklyn Nets,118,Los Angeles Lakers,125,18426,STAPLES Center
Wed Nov 16 2016,Cleveland Cavaliers,93,Indiana Pacers,103,17022,Bankers Life Fieldhouse
Wed Nov 16 2016,New Orleans Pelicans,82,Orlando Magic,89,16127,Amway Center
Wed Nov 16 2016,Washington Wizards,102,Philadelphia 76ers,109,14863,Wells Fargo Center
Wed Nov 16 2016,Milwaukee Bucks,100,Atlanta Hawks,107,14656,Philips Arena
Wed Nov 16 2016,Dallas Mavericks,83,Boston Celtics,90,18624,TD Garden
Wed Nov 16 2016,Detroit Pistons,102,New York Knicks,105,19812,Madison Square Garden (IV)
Wed Nov 16 2016,Houston Rockets,103,Oklahoma City Thunder,105,18203,Chesapeake Energy Arena
Wed Nov 16 2016,Golden State Warriors,127,Toronto Raptors,121,21050,Air Canada Centre
Wed Nov 16 2016,Phoenix Suns,104,Denver Nuggets,120,10247,Pepsi Center
Wed Nov 16 2016,Memphis Grizzlies,111,Los Angeles Clippers,107,19060,STAPLES Center
Wed Nov 16 2016,San Antonio Spurs,110,Sacramento Kings,105,17608,Golden 1 Center
Thu Nov 17 2016,New York Knicks,112,Washington Wizards,119,16704,Verizon Center
Thu Nov 17 2016,Milwaukee Bucks,73,Miami Heat,96,19600,AmericanAirlines Arena
Thu Nov 17 2016,Portland Trail Blazers,109,Houston Rockets,126,15550,Toyota Center
Thu Nov 17 2016,Philadelphia 76ers,86,Minnesota Timberwolves,110,16866,Target Center
Thu Nov 17 2016,Chicago Bulls,85,Utah Jazz,77,19911,Vivint Smart Home Arena
Fri Nov 18 2016,Atlanta Hawks,96,Charlotte Hornets,100,17989,Spectrum Center
Fri Nov 18 2016,Phoenix Suns,116,Indiana Pacers,96,16780,Bankers Life Fieldhouse
Fri Nov 18 2016,Detroit Pistons,81,Cleveland Cavaliers,104,20562,Quicken Loans Arena
Fri Nov 18 2016,Golden State Warriors,104,Boston Celtics,88,18624,TD Garden
Fri Nov 18 2016,Portland Trail Blazers,101,New Orleans Pelicans,113,15552,Smoothie King Center
Fri Nov 18 2016,Brooklyn Nets,105,Oklahoma City Thunder,124,18203,Chesapeake Energy Arena
Fri Nov 18 2016,Memphis Grizzlies,80,Dallas Mavericks,64,19715,American Airlines Center
Fri Nov 18 2016,Toronto Raptors,113,Denver Nuggets,111,12476,Pepsi Center
Fri Nov 18 2016,San Antonio Spurs,116,Los Angeles Lakers,107,18997,STAPLES Center
Fri Nov 18 2016,Los Angeles Clippers,121,Sacramento Kings,115,17608,Golden 1 Center
Sat Nov 19 2016,Utah Jazz,102,Houston Rockets,111,14760,Toyota Center
Sat Nov 19 2016,Boston Celtics,94,Detroit Pistons,92,16107,The Palace of Auburn Hills
Sat Nov 19 2016,Charlotte Hornets,116,New Orleans Pelicans,121,15739,Smoothie King Center
Sat Nov 19 2016,Dallas Mavericks,87,Orlando Magic,95,18846,Amway Center
Sat Nov 19 2016,Miami Heat,114,Washington Wizards,111,15848,Verizon Center
Sat Nov 19 2016,Phoenix Suns,105,Philadelphia 76ers,120,18125,Wells Fargo Center
Sat Nov 19 2016,Minnesota Timberwolves,71,Memphis Grizzlies,93,17112,FedEx Forum
Sat Nov 19 2016,Golden State Warriors,124,Milwaukee Bucks,121,18717,BMO Harris Bradley Center
Sat Nov 19 2016,Chicago Bulls,95,Los Angeles Clippers,102,19060,STAPLES Center
Sun Nov 20 2016,Atlanta Hawks,94,New York Knicks,104,19812,Madison Square Garden (IV)
Sun Nov 20 2016,Portland Trail Blazers,129,Brooklyn Nets,109,16608,Barclays Center
Sun Nov 20 2016,Indiana Pacers,115,Oklahoma City Thunder,111,18203,Chesapeake Energy Arena
Sun Nov 20 2016,Utah Jazz,91,Denver Nuggets,105,12565,Pepsi Center
Sun Nov 20 2016,Toronto Raptors,99,Sacramento Kings,102,17608,Golden 1 Center
Sun Nov 20 2016,Chicago Bulls,118,Los Angeles Lakers,110,18997,STAPLES Center
Mon Nov 21 2016,Memphis Grizzlies,105,Charlotte Hornets,90,14181,Spectrum Center
Mon Nov 21 2016,Golden State Warriors,120,Indiana Pacers,83,17923,Bankers Life Fieldhouse
Mon Nov 21 2016,Miami Heat,94,Philadelphia 76ers,101,16477,Wells Fargo Center
Mon Nov 21 2016,Phoenix Suns,101,Washington Wizards,106,12790,Verizon Center
Mon Nov 21 2016,Houston Rockets,99,Detroit Pistons,96,13632,The Palace of Auburn Hills
Mon Nov 21 2016,Orlando Magic,89,Milwaukee Bucks,93,12306,BMO Harris Bradley Center
Mon Nov 21 2016,Boston Celtics,99,Minnesota Timberwolves,93,13167,Target Center
Mon Nov 21 2016,Dallas Mavericks,91,San Antonio Spurs,96,18418,AT&T Center
Mon Nov 21 2016,Toronto Raptors,115,Los Angeles Clippers,123,19060,STAPLES Center
Tue Nov 22 2016,New Orleans Pelicans,112,Atlanta Hawks,94,19120,Philips Arena
Tue Nov 22 2016,Portland Trail Blazers,103,New York Knicks,107,19812,Madison Square Garden (IV)
Tue Nov 22 2016,Chicago Bulls,107,Denver Nuggets,110,14328,Pepsi Center
Tue Nov 22 2016,Oklahoma City Thunder,109,Los Angeles Lakers,111,18997,STAPLES Center
Wed Nov 23 2016,San Antonio Spurs,119,Charlotte Hornets,114,18515,Spectrum Center
Wed Nov 23 2016,Portland Trail Blazers,125,Cleveland Cavaliers,137,20562,Quicken Loans Arena
Wed Nov 23 2016,Atlanta Hawks,96,Indiana Pacers,85,16032,Bankers Life Fieldhouse
Wed Nov 23 2016,Phoenix Suns,92,Orlando Magic,87,17069,Amway Center
Wed Nov 23 2016,Memphis Grizzlies,104,Philadelphia 76ers,99,15880,Wells Fargo Center
Wed Nov 23 2016,Boston Celtics,111,Brooklyn Nets,92,16210,Barclays Center
Wed Nov 23 2016,Miami Heat,84,Detroit Pistons,107,14520,The Palace of Auburn Hills
Wed Nov 23 2016,Toronto Raptors,115,Houston Rockets,102,18055,Toyota Center
Wed Nov 23 2016,Los Angeles Clippers,124,Dallas Mavericks,104,20042,American Airlines Center
Wed Nov 23 2016,Denver Nuggets,83,Utah Jazz,108,19229,Vivint Smart Home Arena
Wed Nov 23 2016,Minnesota Timberwolves,96,New Orleans Pelicans,117,15555,Smoothie King Center
Wed Nov 23 2016,Los Angeles Lakers,106,Golden State Warriors,149,19596,Oracle Arena
Wed Nov 23 2016,Oklahoma City Thunder,101,Sacramento Kings,116,17608,Golden 1 Center
Fri Nov 25 2016,San Antonio Spurs,109,Boston Celtics,103,18624,TD Garden
Fri Nov 25 2016,Washington Wizards,94,Orlando Magic,91,17103,Amway Center
Fri Nov 25 2016,Dallas Mavericks,90,Cleveland Cavaliers,128,20562,Quicken Loans Arena
Fri Nov 25 2016,Los Angeles Clippers,97,Detroit Pistons,108,17023,The Palace of Auburn Hills
Fri Nov 25 2016,Charlotte Hornets,111,New York Knicks,113,19812,Madison Square Garden (IV)
Fri Nov 25 2016,Chicago Bulls,105,Philadelphia 76ers,89,18234,Wells Fargo Center
Fri Nov 25 2016,Brooklyn Nets,97,Indiana Pacers,118,16083,Bankers Life Fieldhouse
Fri Nov 25 2016,Miami Heat,90,Memphis Grizzlies,81,17222,FedEx Forum
Fri Nov 25 2016,Toronto Raptors,105,Milwaukee Bucks,99,16223,BMO Harris Bradley Center
Fri Nov 25 2016,Atlanta Hawks,68,Utah Jazz,95,19911,Vivint Smart Home Arena
Fri Nov 25 2016,Oklahoma City Thunder,132,Denver Nuggets,129,14327,Pepsi Center
Fri Nov 25 2016,Minnesota Timberwolves,98,Phoenix Suns,85,16728,Talking Stick Resort Arena
Fri Nov 25 2016,New Orleans Pelicans,104,Portland Trail Blazers,119,19393,Moda Center
Fri Nov 25 2016,Golden State Warriors,109,Los Angeles Lakers,85,18997,STAPLES Center
Fri Nov 25 2016,Houston Rockets,117,Sacramento Kings,104,17608,Golden 1 Center
Sat Nov 26 2016,New York Knicks,102,Charlotte Hornets,107,19195,Spectrum Center
Sat Nov 26 2016,San Antonio Spurs,112,Washington Wizards,100,17066,Verizon Center
Sat Nov 26 2016,Memphis Grizzlies,110,Miami Heat,107,19600,AmericanAirlines Arena
Sat Nov 26 2016,Detroit Pistons,88,Oklahoma City Thunder,106,18203,Chesapeake Energy Arena
Sat Nov 26 2016,Minnesota Timberwolves,102,Golden State Warriors,115,19596,Oracle Arena
Sun Nov 27 2016,Cleveland Cavaliers,112,Philadelphia 76ers,108,19311,Wells Fargo Center
Sun Nov 27 2016,Denver Nuggets,120,Phoenix Suns,114,15365,Talking Stick Resort Arena
Sun Nov 27 2016,Sacramento Kings,122,Brooklyn Nets,105,13646,Barclays Center
Sun Nov 27 2016,Los Angeles Clippers,70,Indiana Pacers,91,15572,Bankers Life Fieldhouse
Sun Nov 27 2016,Milwaukee Bucks,104,Orlando Magic,96,16521,Amway Center
Sun Nov 27 2016,New Orleans Pelicans,81,Dallas Mavericks,91,19302,American Airlines Center
Sun Nov 27 2016,Houston Rockets,130,Portland Trail Blazers,114,19393,Moda Center
Sun Nov 27 2016,Atlanta Hawks,94,Los Angeles Lakers,109,18997,STAPLES Center
Mon Nov 28 2016,Sacramento Kings,95,Washington Wizards,101,12571,Verizon Center
Mon Nov 28 2016,Boston Celtics,112,Miami Heat,104,19600,AmericanAirlines Arena
Mon Nov 28 2016,Oklahoma City Thunder,112,New York Knicks,103,19812,Madison Square Garden (IV)
Mon Nov 28 2016,Philadelphia 76ers,95,Toronto Raptors,122,19800,Air Canada Centre
Mon Nov 28 2016,Charlotte Hornets,104,Memphis Grizzlies,85,13143,FedEx Forum
Mon Nov 28 2016,Utah Jazz,112,Minnesota Timberwolves,103,9384,Target Center
Mon Nov 28 2016,Atlanta Hawks,100,Golden State Warriors,105,19596,Oracle Arena
Tue Nov 29 2016,Detroit Pistons,112,Charlotte Hornets,89,14266,Spectrum Center
Tue Nov 29 2016,Los Angeles Clippers,122,Brooklyn Nets,127,15681,Barclays Center
Tue Nov 29 2016,Cleveland Cavaliers,101,Milwaukee Bucks,118,16559,BMO Harris Bradley Center
Tue Nov 29 2016,Los Angeles Lakers,88,New Orleans Pelicans,105,14024,Smoothie King Center
Tue Nov 29 2016,Orlando Magic,95,San Antonio Spurs,83,18418,AT&T Center
Tue Nov 29 2016,Houston Rockets,101,Utah Jazz,120,19911,Vivint Smart Home Arena
Wed Nov 30 2016,Detroit Pistons,121,Boston Celtics,114,17338,TD Garden
Wed Nov 30 2016,Memphis Grizzlies,105,Toronto Raptors,120,19800,Air Canada Centre
Wed Nov 30 2016,Los Angeles Lakers,96,Chicago Bulls,90,21773,United Center
Wed Nov 30 2016,New York Knicks,106,Minnesota Timberwolves,104,13987,Target Center
Wed Nov 30 2016,Washington Wizards,115,Oklahoma City Thunder,126,18203,Chesapeake Energy Arena
Wed Nov 30 2016,San Antonio Spurs,94,Dallas Mavericks,87,19245,American Airlines Center
Wed Nov 30 2016,Miami Heat,106,Denver Nuggets,98,11471,Pepsi Center
Wed Nov 30 2016,Atlanta Hawks,107,Phoenix Suns,109,15909,Talking Stick Resort Arena
Wed Nov 30 2016,Indiana Pacers,109,Portland Trail Blazers,131,19107,Moda Center
Thu Dec 1 2016,Dallas Mavericks,87,Charlotte Hornets,97,14471,Spectrum Center
Thu Dec 1 2016,Milwaukee Bucks,111,Brooklyn Nets,93,12675,Barclays Center
Thu Dec 1 2016,Los Angeles Clippers,113,Cleveland Cavaliers,94,20562,Quicken Loans Arena
Thu Dec 1 2016,Orlando Magic,94,Memphis Grizzlies,95,13344,FedEx Forum
Thu Dec 1 2016,Miami Heat,111,Utah Jazz,110,19073,Vivint Smart Home Arena
Thu Dec 1 2016,Houston Rockets,132,Golden State Warriors,127,19596,Oracle Arena
Fri Dec 2 2016,Orlando Magic,105,Philadelphia 76ers,88,13711,Wells Fargo Center
Fri Dec 2 2016,Sacramento Kings,92,Boston Celtics,97,18624,TD Garden
Fri Dec 2 2016,Minnesota Timberwolves,114,New York Knicks,118,19812,Madison Square Garden (IV)
Fri Dec 2 2016,Los Angeles Lakers,80,Toronto Raptors,113,19800,Air Canada Centre
Fri Dec 2 2016,Detroit Pistons,121,Atlanta Hawks,85,15500,Philips Arena
Fri Dec 2 2016,Cleveland Cavaliers,105,Chicago Bulls,111,21775,United Center
Fri Dec 2 2016,Los Angeles Clippers,114,New Orleans Pelicans,96,16538,Smoothie King Center
Fri Dec 2 2016,Washington Wizards,105,San Antonio Spurs,107,18418,AT&T Center
Fri Dec 2 2016,Houston Rockets,128,Denver Nuggets,110,15549,Pepsi Center
Sat Dec 3 2016,Brooklyn Nets,103,Milwaukee Bucks,112,15565,BMO Harris Bradley Center
Sat Dec 3 2016,Minnesota Timberwolves,125,Charlotte Hornets,120,16982,Spectrum Center
Sat Dec 3 2016,Boston Celtics,107,Philadelphia 76ers,106,17063,Wells Fargo Center
Sat Dec 3 2016,Atlanta Hawks,84,Toronto Raptors,128,19800,Air Canada Centre
