date,team_1,team_1_score,team_2,team_2_score,stadium_attendance,stadium
Thu Oct 25 2018,Portland Trail Blazers,128,Orlando Magic,114,15114,Amway Center
Thu Oct 25 2018,Boston Celtics,101,Oklahoma City Thunder,95,18203,Chesapeake Energy Arena
Thu Oct 25 2018,Denver Nuggets,114,Los Angeles Lakers,121,18997,STAPLES Center
Fri Oct 26 2018,Chicago Bulls,106,Charlotte Hornets,135,15220,Spectrum Center
Fri Oct 26 2018,Golden State Warriors,128,New York Knicks,100,19812,Madison Square Garden (IV)
Fri Oct 26 2018,Dallas Mavericks,107,Toronto Raptors,116,19800,Scotiabank Arena
Fri Oct 26 2018,Los Angeles Clippers,133,Houston Rockets,113,18055,Toyota Center
Fri Oct 26 2018,Milwaukee Bucks,125,Minnesota Timberwolves,95,16334,Target Center
Fri Oct 26 2018,Brooklyn Nets,115,New Orleans Pelicans,117,15272,Smoothie King Center
Fri Oct 26 2018,Washington Wizards,112,Sacramento Kings,116,14101,Golden 1 Center
Sat Oct 27 2018,Boston Celtics,109,Detroit Pistons,89,18120,Little Caesars Arena
Sat Oct 27 2018,Utah Jazz,132,New Orleans Pelicans,111,16373,Smoothie King Center
Sat Oct 27 2018,Chicago Bulls,97,Atlanta Hawks,85,15549,State Farm Arena
Sat Oct 27 2018,Indiana Pacers,119,Cleveland Cavaliers,107,19432,Quicken Loans Arena
Sat Oct 27 2018,Charlotte Hornets,103,Philadelphia 76ers,105,20203,Wells Fargo Center
Sat Oct 27 2018,Phoenix Suns,96,Memphis Grizzlies,117,15926,FedEx Forum
Sat Oct 27 2018,Portland Trail Blazers,111,Miami Heat,120,19600,AmericanAirlines Arena
Sat Oct 27 2018,Orlando Magic,91,Milwaukee Bucks,113,17341,Fiserv Forum
Sat Oct 27 2018,Los Angeles Lakers,106,San Antonio Spurs,110,18589,AT&T Center
Sun Oct 28 2018,Golden State Warriors,120,Brooklyn Nets,114,17732,Barclays Center
Sun Oct 28 2018,Utah Jazz,113,Dallas Mavericks,104,19571,American Airlines Center
Sun Oct 28 2018,Phoenix Suns,110,Oklahoma City Thunder,117,18203,Chesapeake Energy Arena
Sun Oct 28 2018,Washington Wizards,104,Los Angeles Clippers,136,16491,STAPLES Center
Mon Oct 29 2018,Portland Trail Blazers,103,Indiana Pacers,93,15788,Bankers Life Fieldhouse
Mon Oct 29 2018,Atlanta Hawks,92,Philadelphia 76ers,113,20269,Wells Fargo Center
Mon Oct 29 2018,Sacramento Kings,123,Miami Heat,113,19600,AmericanAirlines Arena
Mon Oct 29 2018,Brooklyn Nets,96,New York Knicks,115,19221,Madison Square Garden (IV)
Mon Oct 29 2018,Golden State Warriors,149,Chicago Bulls,124,21076,United Center
Mon Oct 29 2018,Toronto Raptors,109,Milwaukee Bucks,124,17341,Fiserv Forum
Mon Oct 29 2018,Los Angeles Lakers,120,Minnesota Timberwolves,124,18978,Target Center
Mon Oct 29 2018,Dallas Mavericks,108,San Antonio Spurs,113,18354,AT&T Center
Mon Oct 29 2018,New Orleans Pelicans,111,Denver Nuggets,116,15217,Pepsi Center
Tue Oct 30 2018,Miami Heat,113,Charlotte Hornets,125,14117,Spectrum Center
Tue Oct 30 2018,Atlanta Hawks,114,Cleveland Cavaliers,136,19432,Quicken Loans Arena
Tue Oct 30 2018,Sacramento Kings,107,Orlando Magic,99,15074,Amway Center
Tue Oct 30 2018,Detroit Pistons,105,Boston Celtics,108,18624,TD Garden
Tue Oct 30 2018,Philadelphia 76ers,112,Toronto Raptors,129,19800,Scotiabank Arena
Tue Oct 30 2018,Portland Trail Blazers,104,Houston Rockets,85,18055,Toyota Center
Tue Oct 30 2018,Washington Wizards,95,Memphis Grizzlies,107,14106,FedEx Forum
Tue Oct 30 2018,Los Angeles Clippers,110,Oklahoma City Thunder,128,18203,Chesapeake Energy Arena
Wed Oct 31 2018,Detroit Pistons,119,Brooklyn Nets,120,12862,Barclays Center
Wed Oct 31 2018,Denver Nuggets,108,Chicago Bulls,107,19027,United Center
Wed Oct 31 2018,Utah Jazz,125,Minnesota Timberwolves,128,10079,Target Center
Wed Oct 31 2018,Indiana Pacers,107,New York Knicks,101,18295,Madison Square Garden (IV)
Wed Oct 31 2018,New Orleans Pelicans,121,Golden State Warriors,131,19596,Oracle Arena
Wed Oct 31 2018,Dallas Mavericks,113,Los Angeles Lakers,114,18997,STAPLES Center
Wed Oct 31 2018,San Antonio Spurs,120,Phoenix Suns,90,12328,Talking Stick Resort Arena
Thu Nov 1 2018,Oklahoma City Thunder,111,Charlotte Hornets,107,14583,Spectrum Center
Thu Nov 1 2018,Denver Nuggets,110,Cleveland Cavaliers,91,19432,Quicken Loans Arena
Thu Nov 1 2018,Los Angeles Clippers,113,Philadelphia 76ers,122,20246,Wells Fargo Center
Thu Nov 1 2018,Sacramento Kings,146,Atlanta Hawks,115,12095,State Farm Arena
Thu Nov 1 2018,Milwaukee Bucks,113,Boston Celtics,117,18624,TD Garden
Thu Nov 1 2018,New Orleans Pelicans,119,Portland Trail Blazers,132,18921,Moda Center
Fri Nov 2 2018,Los Angeles Clippers,120,Orlando Magic,95,15953,Amway Center
Fri Nov 2 2018,Houston Rockets,119,Brooklyn Nets,111,14013,Barclays Center
Fri Nov 2 2018,Indiana Pacers,107,Chicago Bulls,105,19704,United Center
Fri Nov 2 2018,Oklahoma City Thunder,134,Washington Wizards,111,20409,Capital One Arena
Fri Nov 2 2018,New York Knicks,118,Dallas Mavericks,106,20008,American Airlines Center
Fri Nov 2 2018,Memphis Grizzlies,110,Utah Jazz,100,18306,Vivint Smart Home Arena
Fri Nov 2 2018,Toronto Raptors,107,Phoenix Suns,98,15843,Talking Stick Resort Arena
Fri Nov 2 2018,Minnesota Timberwolves,99,Golden State Warriors,116,19596,Oracle Arena
Sat Nov 3 2018,Detroit Pistons,99,Philadelphia 76ers,109,20289,Wells Fargo Center
Sat Nov 3 2018,Cleveland Cavaliers,94,Charlotte Hornets,126,16221,Spectrum Center
Sat Nov 3 2018,Boston Celtics,101,Indiana Pacers,102,17505,Bankers Life Fieldhouse
Sat Nov 3 2018,Miami Heat,118,Atlanta Hawks,123,16303,State Farm Arena
Sat Nov 3 2018,Houston Rockets,96,Chicago Bulls,88,20505,United Center
Sat Nov 3 2018,New Orleans Pelicans,95,San Antonio Spurs,109,18354,AT&T Center
Sat Nov 3 2018,Utah Jazz,88,Denver Nuggets,103,19520,Pepsi Center
Sat Nov 3 2018,Los Angeles Lakers,114,Portland Trail Blazers,110,19848,Moda Center
Sun Nov 4 2018,Sacramento Kings,109,Milwaukee Bucks,144,17341,Fiserv Forum
Sun Nov 4 2018,Philadelphia 76ers,97,Brooklyn Nets,122,12826,Barclays Center
Sun Nov 4 2018,New York Knicks,95,Washington Wizards,108,16679,Capital One Arena
Sun Nov 4 2018,Orlando Magic,117,San Antonio Spurs,110,18354,AT&T Center
Sun Nov 4 2018,Memphis Grizzlies,100,Phoenix Suns,102,13074,Talking Stick Resort Arena
Sun Nov 4 2018,Minnesota Timberwolves,81,Portland Trail Blazers,111,19522,Moda Center
Sun Nov 4 2018,Toronto Raptors,121,Los Angeles Lakers,107,18997,STAPLES Center
Mon Nov 5 2018,Miami Heat,120,Detroit Pistons,115,14148,Little Caesars Arena
Mon Nov 5 2018,Houston Rockets,98,Indiana Pacers,94,14735,Bankers Life Fieldhouse
Mon Nov 5 2018,Cleveland Cavaliers,100,Orlando Magic,102,15009,Amway Center
Mon Nov 5 2018,Chicago Bulls,116,New York Knicks,115,19812,Madison Square Garden (IV)
Mon Nov 5 2018,New Orleans Pelicans,116,Oklahoma City Thunder,122,18203,Chesapeake Energy Arena
Mon Nov 5 2018,Boston Celtics,107,Denver Nuggets,115,19520,Pepsi Center
Mon Nov 5 2018,Toronto Raptors,124,Utah Jazz,111,18306,Vivint Smart Home Arena
Mon Nov 5 2018,Memphis Grizzlies,101,Golden State Warriors,117,19596,Oracle Arena
Mon Nov 5 2018,Minnesota Timberwolves,109,Los Angeles Clippers,120,16564,STAPLES Center
Tue Nov 6 2018,Atlanta Hawks,102,Charlotte Hornets,113,13955,Spectrum Center
Tue Nov 6 2018,Washington Wizards,100,Dallas Mavericks,119,19234,American Airlines Center
Tue Nov 6 2018,Brooklyn Nets,104,Phoenix Suns,82,14205,Talking Stick Resort Arena
Tue Nov 6 2018,Milwaukee Bucks,103,Portland Trail Blazers,118,19512,Moda Center
Wed Nov 7 2018,Oklahoma City Thunder,95,Cleveland Cavaliers,86,19432,Quicken Loans Arena
Wed Nov 7 2018,Detroit Pistons,103,Orlando Magic,96,16103,Amway Center
Wed Nov 7 2018,New York Knicks,112,Atlanta Hawks,107,12412,State Farm Arena
Wed Nov 7 2018,San Antonio Spurs,88,Miami Heat,95,19600,AmericanAirlines Arena
Wed Nov 7 2018,Philadelphia 76ers,100,Indiana Pacers,94,16434,Bankers Life Fieldhouse
Wed Nov 7 2018,Denver Nuggets,87,Memphis Grizzlies,89,15832,FedEx Forum
Wed Nov 7 2018,Chicago Bulls,98,New Orleans Pelicans,107,15514,Smoothie King Center
Wed Nov 7 2018,Dallas Mavericks,102,Utah Jazz,117,18306,Vivint Smart Home Arena
Wed Nov 7 2018,Toronto Raptors,114,Sacramento Kings,105,17583,Golden 1 Center
Wed Nov 7 2018,Minnesota Timberwolves,110,Los Angeles Lakers,114,18997,STAPLES Center
Thu Nov 8 2018,Houston Rockets,80,Oklahoma City Thunder,98,18203,Chesapeake Energy Arena
Thu Nov 8 2018,Boston Celtics,116,Phoenix Suns,109,17359,Talking Stick Resort Arena
Thu Nov 8 2018,Los Angeles Clippers,105,Portland Trail Blazers,116,19170,Moda Center
Thu Nov 8 2018,Milwaukee Bucks,134,Golden State Warriors,111,19596,Oracle Arena
Fri Nov 9 2018,Washington Wizards,108,Orlando Magic,117,16562,Amway Center
Fri Nov 9 2018,Charlotte Hornets,132,Philadelphia 76ers,133,20424,Wells Fargo Center
Fri Nov 9 2018,Detroit Pistons,124,Atlanta Hawks,109,14759,State Farm Arena
Fri Nov 9 2018,Indiana Pacers,110,Miami Heat,102,19600,AmericanAirlines Arena
Fri Nov 9 2018,Brooklyn Nets,112,Denver Nuggets,110,19520,Pepsi Center
Fri Nov 9 2018,Boston Celtics,115,Utah Jazz,123,18306,Vivint Smart Home Arena
Fri Nov 9 2018,Minnesota Timberwolves,110,Sacramento Kings,121,17583,Golden 1 Center
Sat Nov 10 2018,New York Knicks,112,Toronto Raptors,128,19800,Scotiabank Arena
Sat Nov 10 2018,Milwaukee Bucks,126,Los Angeles Clippers,128,17486,STAPLES Center
Sat Nov 10 2018,Phoenix Suns,99,New Orleans Pelicans,119,15222,Smoothie King Center
Sat Nov 10 2018,Cleveland Cavaliers,98,Chicago Bulls,99,21506,United Center
Sat Nov 10 2018,Philadelphia 76ers,106,Memphis Grizzlies,112,16904,FedEx Forum
Sat Nov 10 2018,Washington Wizards,116,Miami Heat,110,19600,AmericanAirlines Arena
Sat Nov 10 2018,Brooklyn Nets,100,Golden State Warriors,116,19596,Oracle Arena
Sat Nov 10 2018,Houston Rockets,89,San Antonio Spurs,96,18354,AT&T Center
Sat Nov 10 2018,Oklahoma City Thunder,96,Dallas Mavericks,111,19818,American Airlines Center
Sat Nov 10 2018,Los Angeles Lakers,101,Sacramento Kings,86,17583,Golden 1 Center
Sun Nov 11 2018,Charlotte Hornets,113,Detroit Pistons,103,15133,Little Caesars Arena
Sun Nov 11 2018,Indiana Pacers,103,Houston Rockets,115,18055,Toyota Center
Sun Nov 11 2018,Orlando Magic,115,New York Knicks,89,19812,Madison Square Garden (IV)
Sun Nov 11 2018,Milwaukee Bucks,121,Denver Nuggets,114,19520,Pepsi Center
Sun Nov 11 2018,Boston Celtics,94,Portland Trail Blazers,100,19712,Moda Center
Sun Nov 11 2018,Atlanta Hawks,106,Los Angeles Lakers,107,18997,STAPLES Center
Mon Nov 12 2018,Orlando Magic,109,Washington Wizards,117,15346,Capital One Arena
Mon Nov 12 2018,Philadelphia 76ers,124,Miami Heat,114,19600,AmericanAirlines Arena
Mon Nov 12 2018,New Orleans Pelicans,126,Toronto Raptors,110,19800,Scotiabank Arena
Mon Nov 12 2018,Dallas Mavericks,103,Chicago Bulls,98,19012,United Center
Mon Nov 12 2018,Utah Jazz,96,Memphis Grizzlies,88,13477,FedEx Forum
Mon Nov 12 2018,Brooklyn Nets,113,Minnesota Timberwolves,120,10186,Target Center
Mon Nov 12 2018,Phoenix Suns,101,Oklahoma City Thunder,118,18203,Chesapeake Energy Arena
Mon Nov 12 2018,San Antonio Spurs,99,Sacramento Kings,104,15500,Golden 1 Center
Mon Nov 12 2018,Golden State Warriors,116,Los Angeles Clippers,121,19068,STAPLES Center
Tue Nov 13 2018,Charlotte Hornets,89,Cleveland Cavaliers,113,19432,Quicken Loans Arena
Tue Nov 13 2018,Houston Rockets,109,Denver Nuggets,99,16741,Pepsi Center
Tue Nov 13 2018,Atlanta Hawks,103,Golden State Warriors,110,19596,Oracle Arena
Wed Nov 14 2018,Philadelphia 76ers,106,Orlando Magic,111,15921,Amway Center
Wed Nov 14 2018,Cleveland Cavaliers,95,Washington Wizards,119,14537,Capital One Arena
Wed Nov 14 2018,Chicago Bulls,82,Boston Celtics,111,18624,TD Garden
Wed Nov 14 2018,Miami Heat,120,Brooklyn Nets,107,13317,Barclays Center
Wed Nov 14 2018,Detroit Pistons,106,Toronto Raptors,104,19800,Scotiabank Arena
Wed Nov 14 2018,Memphis Grizzlies,116,Milwaukee Bucks,113,16817,Fiserv Forum
Wed Nov 14 2018,New Orleans Pelicans,100,Minnesota Timberwolves,107,11636,Target Center
Wed Nov 14 2018,New York Knicks,103,Oklahoma City Thunder,128,18203,Chesapeake Energy Arena
Wed Nov 14 2018,Utah Jazz,68,Dallas Mavericks,118,19371,American Airlines Center
Wed Nov 14 2018,San Antonio Spurs,96,Phoenix Suns,116,14532,Talking Stick Resort Arena
Wed Nov 14 2018,Portland Trail Blazers,117,Los Angeles Lakers,126,18997,STAPLES Center
Thu Nov 15 2018,Golden State Warriors,86,Houston Rockets,107,18055,Toyota Center
Thu Nov 15 2018,Atlanta Hawks,93,Denver Nuggets,138,15103,Pepsi Center
Thu Nov 15 2018,San Antonio Spurs,111,Los Angeles Clippers,116,17463,STAPLES Center
Fri Nov 16 2018,Toronto Raptors,116,Boston Celtics,123,18624,TD Garden
Fri Nov 16 2018,Miami Heat,91,Indiana Pacers,99,17923,Bankers Life Fieldhouse
Fri Nov 16 2018,Utah Jazz,107,Philadelphia 76ers,113,20485,Wells Fargo Center
Fri Nov 16 2018,Brooklyn Nets,115,Washington Wizards,104,15102,Capital One Arena
Fri Nov 16 2018,Sacramento Kings,104,Memphis Grizzlies,112,13811,FedEx Forum
Fri Nov 16 2018,Portland Trail Blazers,96,Minnesota Timberwolves,112,18978,Target Center
Fri Nov 16 2018,New York Knicks,124,New Orleans Pelicans,129,14717,Smoothie King Center
Fri Nov 16 2018,Chicago Bulls,104,Milwaukee Bucks,123,17341,Fiserv Forum
Sat Nov 17 2018,Los Angeles Clippers,127,Brooklyn Nets,119,12944,Barclays Center
Sat Nov 17 2018,Philadelphia 76ers,122,Charlotte Hornets,119,19426,Spectrum Center
Sat Nov 17 2018,Atlanta Hawks,89,Indiana Pacers,97,17491,Bankers Life Fieldhouse
Sat Nov 17 2018,Denver Nuggets,115,New Orleans Pelicans,125,15408,Smoothie King Center
Sat Nov 17 2018,Los Angeles Lakers,117,Orlando Magic,130,19249,Amway Center
Sat Nov 17 2018,Utah Jazz,98,Boston Celtics,86,18624,TD Garden
Sat Nov 17 2018,Toronto Raptors,122,Chicago Bulls,83,21263,United Center
Sat Nov 17 2018,Sacramento Kings,112,Houston Rockets,132,18055,Toyota Center
Sat Nov 17 2018,Golden State Warriors,109,Dallas Mavericks,112,20260,American Airlines Center
Sat Nov 17 2018,Oklahoma City Thunder,110,Phoenix Suns,100,16376,Talking Stick Resort Arena
Sun Nov 18 2018,Memphis Grizzlies,100,Minnesota Timberwolves,87,13179,Target Center
Sun Nov 18 2018,Los Angeles Lakers,113,Miami Heat,97,19686,AmericanAirlines Arena
Sun Nov 18 2018,New York Knicks,117,Orlando Magic,131,15898,Amway Center
Sun Nov 18 2018,Portland Trail Blazers,119,Washington Wizards,109,16647,Capital One Arena
Sun Nov 18 2018,Golden State Warriors,92,San Antonio Spurs,104,18354,AT&T Center
Mon Nov 19 2018,Boston Celtics,112,Charlotte Hornets,117,18040,Spectrum Center
Mon Nov 19 2018,Cleveland Cavaliers,102,Detroit Pistons,113,15769,Little Caesars Arena
Mon Nov 19 2018,Utah Jazz,94,Indiana Pacers,121,17000,Bankers Life Fieldhouse
Mon Nov 19 2018,Phoenix Suns,114,Philadelphia 76ers,119,20459,Wells Fargo Center
Mon Nov 19 2018,Los Angeles Clippers,127,Atlanta Hawks,119,14323,State Farm Arena
Mon Nov 19 2018,Dallas Mavericks,88,Memphis Grizzlies,98,15997,FedEx Forum
Mon Nov 19 2018,Denver Nuggets,98,Milwaukee Bucks,104,17341,Fiserv Forum
Mon Nov 19 2018,San Antonio Spurs,126,New Orleans Pelicans,140,14675,Smoothie King Center
Mon Nov 19 2018,Oklahoma City Thunder,113,Sacramento Kings,117,16250,Golden 1 Center
Tue Nov 20 2018,Toronto Raptors,93,Orlando Magic,91,16016,Amway Center
Tue Nov 20 2018,Los Angeles Clippers,118,Washington Wizards,125,14499,Capital One Arena
Tue Nov 20 2018,Brooklyn Nets,104,Miami Heat,92,19600,AmericanAirlines Arena
Tue Nov 20 2018,Portland Trail Blazers,118,New York Knicks,114,19812,Madison Square Garden (IV)
Wed Nov 21 2018,Indiana Pacers,109,Charlotte Hornets,127,15913,Spectrum Center
Wed Nov 21 2018,New Orleans Pelicans,120,Philadelphia 76ers,121,20352,Wells Fargo Center
Wed Nov 21 2018,Toronto Raptors,124,Atlanta Hawks,108,15058,State Farm Arena
Wed Nov 21 2018,New York Knicks,117,Boston Celtics,109,18624,TD Garden
Wed Nov 21 2018,Phoenix Suns,116,Chicago Bulls,124,19014,United Center
Wed Nov 21 2018,Los Angeles Lakers,109,Cleveland Cavaliers,105,19432,Quicken Loans Arena
Wed Nov 21 2018,Detroit Pistons,124,Houston Rockets,126,18055,Toyota Center
Wed Nov 21 2018,Portland Trail Blazers,100,Milwaukee Bucks,143,17591,Fiserv Forum
Wed Nov 21 2018,Denver Nuggets,103,Minnesota Timberwolves,101,15086,Target Center
Wed Nov 21 2018,Brooklyn Nets,113,Dallas Mavericks,119,19926,American Airlines Center
Wed Nov 21 2018,Memphis Grizzlies,104,San Antonio Spurs,103,18354,AT&T Center
Wed Nov 21 2018,Sacramento Kings,119,Utah Jazz,110,18306,Vivint Smart Home Arena
Wed Nov 21 2018,Oklahoma City Thunder,123,Golden State Warriors,95,19596,Oracle Arena
Fri Nov 23 2018,Minnesota Timberwolves,112,Brooklyn Nets,102,12814,Barclays Center
Fri Nov 23 2018,Memphis Grizzlies,107,Los Angeles Clippers,112,15418,STAPLES Center
Fri Nov 23 2018,Houston Rockets,111,Detroit Pistons,116,17268,Little Caesars Arena
Fri Nov 23 2018,Boston Celtics,114,Atlanta Hawks,96,15017,State Farm Arena
Fri Nov 23 2018,New Orleans Pelicans,109,New York Knicks,114,18948,Madison Square Garden (IV)
Fri Nov 23 2018,Cleveland Cavaliers,121,Philadelphia 76ers,112,20524,Wells Fargo Center
Fri Nov 23 2018,Washington Wizards,107,Toronto Raptors,125,19800,Scotiabank Arena
Fri Nov 23 2018,Miami Heat,103,Chicago Bulls,96,20935,United Center
Fri Nov 23 2018,San Antonio Spurs,111,Indiana Pacers,100,17262,Bankers Life Fieldhouse
Fri Nov 23 2018,Charlotte Hornets,104,Oklahoma City Thunder,109,18203,Chesapeake Energy Arena
Fri Nov 23 2018,Phoenix Suns,116,Milwaukee Bucks,114,17852,Fiserv Forum
Fri Nov 23 2018,Orlando Magic,87,Denver Nuggets,112,19520,Pepsi Center
Fri Nov 23 2018,Portland Trail Blazers,97,Golden State Warriors,125,19596,Oracle Arena
Fri Nov 23 2018,Utah Jazz,83,Los Angeles Lakers,90,18997,STAPLES Center
Sat Nov 24 2018,Houston Rockets,108,Cleveland Cavaliers,117,19432,Quicken Loans Arena
Sat Nov 24 2018,Chicago Bulls,96,Minnesota Timberwolves,111,17119,Target Center
Sat Nov 24 2018,Denver Nuggets,105,Oklahoma City Thunder,98,18203,Chesapeake Energy Arena
Sat Nov 24 2018,New Orleans Pelicans,114,Washington Wizards,124,15165,Capital One Arena
Sat Nov 24 2018,Boston Celtics,104,Dallas Mavericks,113,20226,American Airlines Center
Sat Nov 24 2018,Sacramento Kings,116,Golden State Warriors,117,19596,Oracle Arena
Sat Nov 24 2018,San Antonio Spurs,129,Milwaukee Bucks,135,17559,Fiserv Forum
Sun Nov 25 2018,Orlando Magic,108,Los Angeles Lakers,104,18997,STAPLES Center
Sun Nov 25 2018,Phoenix Suns,107,Detroit Pistons,118,14413,Little Caesars Arena
Sun Nov 25 2018,Charlotte Hornets,123,Atlanta Hawks,124,12977,State Farm Arena
Sun Nov 25 2018,Philadelphia 76ers,127,Brooklyn Nets,125,15217,Barclays Center
Sun Nov 25 2018,New York Knicks,103,Memphis Grizzlies,98,14331,FedEx Forum
Sun Nov 25 2018,Miami Heat,115,Toronto Raptors,125,19800,Scotiabank Arena
Sun Nov 25 2018,Utah Jazz,133,Sacramento Kings,112,16048,Golden 1 Center
Sun Nov 25 2018,Los Angeles Clippers,104,Portland Trail Blazers,100,19138,Moda Center
Mon Nov 26 2018,Milwaukee Bucks,107,Charlotte Hornets,110,13805,Spectrum Center
Mon Nov 26 2018,Minnesota Timberwolves,102,Cleveland Cavaliers,95,19432,Quicken Loans Arena
Mon Nov 26 2018,Houston Rockets,131,Washington Wizards,135,16872,Capital One Arena
