date,team_1,team_1_score,team_2,team_2_score,stadium_attendance,stadium
Sat Oct 28 2017,Detroit Pistons,95,Los Angeles Clippers,87,17247,STAPLES Center
Sun Oct 29 2017,Milwaukee Bucks,117,Atlanta Hawks,106,14014,Philips Arena
Sun Oct 29 2017,San Antonio Spurs,94,Indiana Pacers,97,15013,Bankers Life Fieldhouse
Sun Oct 29 2017,Denver Nuggets,124,Brooklyn Nets,111,14854,Barclays Center
Sun Oct 29 2017,Orlando Magic,113,Charlotte Hornets,120,15531,Spectrum Center
Sun Oct 29 2017,Washington Wizards,110,Sacramento Kings,83,17583,Golden 1 Center
Sun Oct 29 2017,New York Knicks,114,Cleveland Cavaliers,95,20562,Quicken Loans Arena
Sun Oct 29 2017,Detroit Pistons,115,Golden State Warriors,107,19596,Oracle Arena
Mon Oct 30 2017,San Antonio Spurs,94,Boston Celtics,108,18624,TD Garden
Mon Oct 30 2017,Minnesota Timberwolves,125,Miami Heat,122,19600,AmericanAirlines Arena
Mon Oct 30 2017,Denver Nuggets,110,New York Knicks,116,19812,Madison Square Garden (IV)
Mon Oct 30 2017,Philadelphia 76ers,115,Houston Rockets,107,16714,Toyota Center
Mon Oct 30 2017,Charlotte Hornets,104,Memphis Grizzlies,99,15771,FedEx Forum
Mon Oct 30 2017,Orlando Magic,115,New Orleans Pelicans,99,14004,Smoothie King Center
Mon Oct 30 2017,Dallas Mavericks,89,Utah Jazz,104,16221,Vivint Smart Home Arena
Mon Oct 30 2017,Toronto Raptors,99,Portland Trail Blazers,85,18505,Moda Center
Mon Oct 30 2017,Golden State Warriors,141,Los Angeles Clippers,113,19068,STAPLES Center
Tue Oct 31 2017,Sacramento Kings,83,Indiana Pacers,101,12245,Bankers Life Fieldhouse
Tue Oct 31 2017,Phoenix Suns,122,Brooklyn Nets,114,12936,Barclays Center
Tue Oct 31 2017,Oklahoma City Thunder,110,Milwaukee Bucks,91,16713,BMO Harris Bradley Center
Tue Oct 31 2017,Detroit Pistons,93,Los Angeles Lakers,113,17569,STAPLES Center
Wed Nov 1 2017,Milwaukee Bucks,121,Charlotte Hornets,126,15655,Spectrum Center
Wed Nov 1 2017,Indiana Pacers,124,Cleveland Cavaliers,107,20562,Quicken Loans Arena
Wed Nov 1 2017,Atlanta Hawks,109,Philadelphia 76ers,119,20549,Wells Fargo Center
Wed Nov 1 2017,Phoenix Suns,122,Washington Wizards,116,14790,Capital One Arena
Wed Nov 1 2017,Sacramento Kings,86,Boston Celtics,113,18624,TD Garden
Wed Nov 1 2017,Chicago Bulls,91,Miami Heat,97,19600,AmericanAirlines Arena
Wed Nov 1 2017,Orlando Magic,101,Memphis Grizzlies,99,15434,FedEx Forum
Wed Nov 1 2017,Minnesota Timberwolves,104,New Orleans Pelicans,98,14788,Smoothie King Center
Wed Nov 1 2017,Houston Rockets,119,New York Knicks,97,18320,Madison Square Garden (IV)
Wed Nov 1 2017,Toronto Raptors,111,Denver Nuggets,129,14072,Pepsi Center
Wed Nov 1 2017,Portland Trail Blazers,103,Utah Jazz,112,16685,Vivint Smart Home Arena
Wed Nov 1 2017,Dallas Mavericks,98,Los Angeles Clippers,119,13487,STAPLES Center
Thu Nov 2 2017,Golden State Warriors,112,San Antonio Spurs,92,18418,AT&T Center
Thu Nov 2 2017,Los Angeles Lakers,110,Portland Trail Blazers,113,19469,Moda Center
Fri Nov 3 2017,Milwaukee Bucks,96,Detroit Pistons,105,17207,Little Caesars Arena
Fri Nov 3 2017,Chicago Bulls,105,Orlando Magic,83,19171,Amway Center
Fri Nov 3 2017,Indiana Pacers,110,Philadelphia 76ers,121,20668,Wells Fargo Center
Fri Nov 3 2017,Cleveland Cavaliers,130,Washington Wizards,122,20356,Capital One Arena
Fri Nov 3 2017,Houston Rockets,119,Atlanta Hawks,104,14087,Philips Arena
Fri Nov 3 2017,Phoenix Suns,107,New York Knicks,120,19404,Madison Square Garden (IV)
Fri Nov 3 2017,New Orleans Pelicans,99,Dallas Mavericks,94,19894,American Airlines Center
Fri Nov 3 2017,Charlotte Hornets,101,San Antonio Spurs,108,18418,AT&T Center
Fri Nov 3 2017,Miami Heat,94,Denver Nuggets,95,15317,Pepsi Center
Fri Nov 3 2017,Toronto Raptors,109,Utah Jazz,100,16258,Vivint Smart Home Arena
Fri Nov 3 2017,Boston Celtics,101,Oklahoma City Thunder,94,18203,Chesapeake Energy Arena
Fri Nov 3 2017,Brooklyn Nets,112,Los Angeles Lakers,124,18997,STAPLES Center
Sat Nov 4 2017,Memphis Grizzlies,113,Los Angeles Clippers,104,14777,STAPLES Center
Sat Nov 4 2017,Sacramento Kings,99,Detroit Pistons,108,17683,Little Caesars Arena
Sat Nov 4 2017,New Orleans Pelicans,96,Chicago Bulls,90,21254,United Center
Sat Nov 4 2017,Dallas Mavericks,99,Minnesota Timberwolves,112,16837,Target Center
Sat Nov 4 2017,Golden State Warriors,127,Denver Nuggets,108,19711,Pepsi Center
Sun Nov 5 2017,Atlanta Hawks,117,Cleveland Cavaliers,115,20562,Quicken Loans Arena
Sun Nov 5 2017,Miami Heat,104,Los Angeles Clippers,101,15676,STAPLES Center
Sun Nov 5 2017,Boston Celtics,104,Orlando Magic,88,17731,Amway Center
Sun Nov 5 2017,Washington Wizards,107,Toronto Raptors,96,19800,Air Canada Centre
Sun Nov 5 2017,Utah Jazz,110,Houston Rockets,137,16914,Toyota Center
Sun Nov 5 2017,Phoenix Suns,95,San Antonio Spurs,112,18038,AT&T Center
Sun Nov 5 2017,Indiana Pacers,101,New York Knicks,108,17889,Madison Square Garden (IV)
Sun Nov 5 2017,Charlotte Hornets,94,Minnesota Timberwolves,112,14124,Target Center
Sun Nov 5 2017,Oklahoma City Thunder,99,Portland Trail Blazers,103,19393,Moda Center
Sun Nov 5 2017,Memphis Grizzlies,102,Los Angeles Lakers,107,18997,STAPLES Center
Mon Nov 6 2017,Boston Celtics,110,Atlanta Hawks,107,13215,Philips Arena
Mon Nov 6 2017,Brooklyn Nets,98,Phoenix Suns,92,15905,Talking Stick Resort Arena
Mon Nov 6 2017,Miami Heat,80,Golden State Warriors,97,19596,Oracle Arena
Tue Nov 7 2017,Milwaukee Bucks,119,Cleveland Cavaliers,124,20562,Quicken Loans Arena
Tue Nov 7 2017,New Orleans Pelicans,117,Indiana Pacers,112,15014,Bankers Life Fieldhouse
Tue Nov 7 2017,Dallas Mavericks,113,Washington Wizards,99,14505,Capital One Arena
Tue Nov 7 2017,Charlotte Hornets,113,New York Knicks,118,18704,Madison Square Garden (IV)
Tue Nov 7 2017,Chicago Bulls,114,Toronto Raptors,119,19800,Air Canada Centre
Tue Nov 7 2017,Los Angeles Clippers,107,San Antonio Spurs,120,18418,AT&T Center
Tue Nov 7 2017,Brooklyn Nets,104,Denver Nuggets,112,14058,Pepsi Center
Tue Nov 7 2017,Philadelphia 76ers,104,Utah Jazz,97,16063,Vivint Smart Home Arena
Tue Nov 7 2017,Memphis Grizzlies,98,Portland Trail Blazers,97,18692,Moda Center
Tue Nov 7 2017,Oklahoma City Thunder,86,Sacramento Kings,94,17583,Golden 1 Center
Wed Nov 8 2017,Indiana Pacers,97,Detroit Pistons,114,14407,Little Caesars Arena
Wed Nov 8 2017,New York Knicks,99,Orlando Magic,112,18803,Amway Center
Wed Nov 8 2017,Los Angeles Lakers,96,Boston Celtics,107,18624,TD Garden
Wed Nov 8 2017,Miami Heat,126,Phoenix Suns,115,16500,Talking Stick Resort Arena
Wed Nov 8 2017,Minnesota Timberwolves,101,Golden State Warriors,125,19596,Oracle Arena
Thu Nov 9 2017,Los Angeles Lakers,95,Washington Wizards,111,20356,Capital One Arena
Thu Nov 9 2017,New Orleans Pelicans,118,Toronto Raptors,122,19800,Air Canada Centre
Thu Nov 9 2017,Cleveland Cavaliers,113,Houston Rockets,117,18055,Toyota Center
Thu Nov 9 2017,Philadelphia 76ers,108,Sacramento Kings,109,17583,Golden 1 Center
Thu Nov 9 2017,Oklahoma City Thunder,94,Denver Nuggets,102,19520,Pepsi Center
Fri Nov 10 2017,Atlanta Hawks,104,Detroit Pistons,111,16687,Little Caesars Arena
Fri Nov 10 2017,Charlotte Hornets,87,Boston Celtics,90,18624,TD Garden
Fri Nov 10 2017,Indiana Pacers,105,Chicago Bulls,87,22416,United Center
Fri Nov 10 2017,Los Angeles Clippers,111,Oklahoma City Thunder,120,18203,Chesapeake Energy Arena
Fri Nov 10 2017,Orlando Magic,128,Phoenix Suns,112,16507,Talking Stick Resort Arena
Fri Nov 10 2017,Milwaukee Bucks,94,San Antonio Spurs,87,18418,AT&T Center
Fri Nov 10 2017,Miami Heat,84,Utah Jazz,74,18306,Vivint Smart Home Arena
Fri Nov 10 2017,Brooklyn Nets,101,Portland Trail Blazers,97,19393,Moda Center
Sat Nov 11 2017,Los Angeles Clippers,103,New Orleans Pelicans,111,17624,Smoothie King Center
Sat Nov 11 2017,Atlanta Hawks,94,Washington Wizards,113,17260,Capital One Arena
Sat Nov 11 2017,Memphis Grizzlies,96,Houston Rockets,111,18055,Toyota Center
Sat Nov 11 2017,Sacramento Kings,91,New York Knicks,118,19812,Madison Square Garden (IV)
Sat Nov 11 2017,Cleveland Cavaliers,111,Dallas Mavericks,104,20378,American Airlines Center
Sat Nov 11 2017,Philadelphia 76ers,114,Golden State Warriors,135,19596,Oracle Arena
Sat Nov 11 2017,Los Angeles Lakers,90,Milwaukee Bucks,98,18717,BMO Harris Bradley Center
Sat Nov 11 2017,Chicago Bulls,94,San Antonio Spurs,133,18418,AT&T Center
Sat Nov 11 2017,Orlando Magic,107,Denver Nuggets,125,16688,Pepsi Center
Sat Nov 11 2017,Minnesota Timberwolves,110,Phoenix Suns,118,16910,Talking Stick Resort Arena
Sat Nov 11 2017,Brooklyn Nets,106,Utah Jazz,114,17413,Vivint Smart Home Arena
Sun Nov 12 2017,Toronto Raptors,94,Boston Celtics,95,18624,TD Garden
Sun Nov 12 2017,Miami Heat,103,Detroit Pistons,112,16236,Little Caesars Arena
Sun Nov 12 2017,Houston Rockets,118,Indiana Pacers,95,15581,Bankers Life Fieldhouse
Sun Nov 12 2017,Dallas Mavericks,99,Oklahoma City Thunder,112,18203,Chesapeake Energy Arena
Mon Nov 13 2017,Sacramento Kings,92,Washington Wizards,110,14660,Capital One Arena
Mon Nov 13 2017,Cleveland Cavaliers,104,New York Knicks,101,19812,Madison Square Garden (IV)
Mon Nov 13 2017,Memphis Grizzlies,103,Milwaukee Bucks,110,13244,BMO Harris Bradley Center
Mon Nov 13 2017,Atlanta Hawks,105,New Orleans Pelicans,106,14631,Smoothie King Center
Mon Nov 13 2017,Los Angeles Lakers,100,Phoenix Suns,93,17533,Talking Stick Resort Arena
Mon Nov 13 2017,Minnesota Timberwolves,109,Utah Jazz,98,17236,Vivint Smart Home Arena
Mon Nov 13 2017,Denver Nuggets,82,Portland Trail Blazers,99,18895,Moda Center
Mon Nov 13 2017,Orlando Magic,100,Golden State Warriors,110,19596,Oracle Arena
Mon Nov 13 2017,Philadelphia 76ers,109,Los Angeles Clippers,105,19068,STAPLES Center
Tue Nov 14 2017,Boston Celtics,109,Brooklyn Nets,102,17732,Barclays Center
Tue Nov 14 2017,Toronto Raptors,129,Houston Rockets,113,18055,Toyota Center
Tue Nov 14 2017,San Antonio Spurs,97,Dallas Mavericks,91,19535,American Airlines Center
Wed Nov 15 2017,Sacramento Kings,80,Atlanta Hawks,126,13860,Philips Arena
Wed Nov 15 2017,Washington Wizards,102,Miami Heat,93,19600,AmericanAirlines Arena
Wed Nov 15 2017,Utah Jazz,101,New York Knicks,106,18695,Madison Square Garden (IV)
Wed Nov 15 2017,Cleveland Cavaliers,115,Charlotte Hornets,107,19427,Spectrum Center
Wed Nov 15 2017,Indiana Pacers,116,Memphis Grizzlies,113,16033,FedEx Forum
Wed Nov 15 2017,Detroit Pistons,95,Milwaukee Bucks,99,14594,BMO Harris Bradley Center
Wed Nov 15 2017,San Antonio Spurs,86,Minnesota Timberwolves,98,18978,Target Center
Wed Nov 15 2017,Toronto Raptors,125,New Orleans Pelicans,116,15654,Smoothie King Center
Wed Nov 15 2017,Chicago Bulls,79,Oklahoma City Thunder,92,18203,Chesapeake Energy Arena
Wed Nov 15 2017,Orlando Magic,94,Portland Trail Blazers,99,19206,Moda Center
Wed Nov 15 2017,Philadelphia 76ers,115,Los Angeles Lakers,109,18997,STAPLES Center
Thu Nov 16 2017,Golden State Warriors,88,Boston Celtics,92,18624,TD Garden
Thu Nov 16 2017,Houston Rockets,142,Phoenix Suns,116,16875,Talking Stick Resort Arena
Fri Nov 17 2017,Detroit Pistons,100,Indiana Pacers,107,17188,Bankers Life Fieldhouse
Fri Nov 17 2017,Miami Heat,91,Washington Wizards,88,17551,Capital One Arena
Fri Nov 17 2017,Utah Jazz,107,Brooklyn Nets,118,14495,Barclays Center
Fri Nov 17 2017,Los Angeles Clippers,113,Cleveland Cavaliers,118,20562,Quicken Loans Arena
Fri Nov 17 2017,New York Knicks,84,Toronto Raptors,107,19800,Air Canada Centre
Fri Nov 17 2017,Charlotte Hornets,120,Chicago Bulls,123,20493,United Center
Fri Nov 17 2017,Oklahoma City Thunder,101,San Antonio Spurs,104,18418,AT&T Center
Fri Nov 17 2017,Minnesota Timberwolves,111,Dallas Mavericks,87,19459,American Airlines Center
Fri Nov 17 2017,Portland Trail Blazers,82,Sacramento Kings,86,17583,Golden 1 Center
Fri Nov 17 2017,New Orleans Pelicans,114,Denver Nuggets,146,16816,Pepsi Center
Fri Nov 17 2017,Phoenix Suns,122,Los Angeles Lakers,113,18997,STAPLES Center
Sat Nov 18 2017,Los Angeles Clippers,87,Charlotte Hornets,102,17640,Spectrum Center
Sat Nov 18 2017,Utah Jazz,125,Orlando Magic,85,19157,Amway Center
Sat Nov 18 2017,Boston Celtics,110,Atlanta Hawks,99,16381,Philips Arena
Sat Nov 18 2017,Golden State Warriors,124,Philadelphia 76ers,116,20848,Wells Fargo Center
Sat Nov 18 2017,Houston Rockets,105,Memphis Grizzlies,83,17266,FedEx Forum
Sat Nov 18 2017,Milwaukee Bucks,79,Dallas Mavericks,111,19949,American Airlines Center
Sat Nov 18 2017,Sacramento Kings,90,Portland Trail Blazers,102,19522,Moda Center
Sun Nov 19 2017,Washington Wizards,91,Toronto Raptors,100,19800,Air Canada Centre
Sun Nov 19 2017,Indiana Pacers,120,Miami Heat,95,19600,AmericanAirlines Arena
Sun Nov 19 2017,Golden State Warriors,118,Brooklyn Nets,111,17732,Barclays Center
Sun Nov 19 2017,Detroit Pistons,100,Minnesota Timberwolves,97,16069,Target Center
Sun Nov 19 2017,Chicago Bulls,105,Phoenix Suns,113,16264,Talking Stick Resort Arena
Sun Nov 19 2017,Denver Nuggets,109,Los Angeles Lakers,127,18997,STAPLES Center
Mon Nov 20 2017,Minnesota Timberwolves,102,Charlotte Hornets,118,15978,Spectrum Center
Mon Nov 20 2017,Cleveland Cavaliers,116,Detroit Pistons,88,20491,Little Caesars Arena
Mon Nov 20 2017,Indiana Pacers,105,Orlando Magic,97,17239,Amway Center
Mon Nov 20 2017,Utah Jazz,86,Philadelphia 76ers,107,20587,Wells Fargo Center
Mon Nov 20 2017,Los Angeles Clippers,85,New York Knicks,107,18848,Madison Square Garden (IV)
Mon Nov 20 2017,Portland Trail Blazers,100,Memphis Grizzlies,92,15785,FedEx Forum
Mon Nov 20 2017,Washington Wizards,99,Milwaukee Bucks,88,16122,BMO Harris Bradley Center
Mon Nov 20 2017,Oklahoma City Thunder,107,New Orleans Pelicans,114,16765,Smoothie King Center
Mon Nov 20 2017,Boston Celtics,110,Dallas Mavericks,102,20302,American Airlines Center
Mon Nov 20 2017,Atlanta Hawks,85,San Antonio Spurs,96,18418,AT&T Center
Mon Nov 20 2017,Denver Nuggets,114,Sacramento Kings,98,17583,Golden 1 Center
Tue Nov 21 2017,Chicago Bulls,94,Los Angeles Lakers,103,18997,STAPLES Center
Wed Nov 22 2017,Washington Wizards,124,Charlotte Hornets,129,16041,Spectrum Center
Wed Nov 22 2017,Brooklyn Nets,109,Cleveland Cavaliers,119,20562,Quicken Loans Arena
Wed Nov 22 2017,Portland Trail Blazers,81,Philadelphia 76ers,101,20605,Wells Fargo Center
Wed Nov 22 2017,Los Angeles Clippers,116,Atlanta Hawks,103,12675,Philips Arena
Wed Nov 22 2017,Boston Celtics,98,Miami Heat,104,19704,AmericanAirlines Arena
Wed Nov 22 2017,Toronto Raptors,100,New York Knicks,108,19812,Madison Square Garden (IV)
Wed Nov 22 2017,Denver Nuggets,95,Houston Rockets,125,18055,Toyota Center
Wed Nov 22 2017,Dallas Mavericks,95,Memphis Grizzlies,94,16101,FedEx Forum
Wed Nov 22 2017,Orlando Magic,118,Minnesota Timberwolves,124,16402,Target Center
Wed Nov 22 2017,San Antonio Spurs,90,New Orleans Pelicans,107,17539,Smoothie King Center
Wed Nov 22 2017,Golden State Warriors,91,Oklahoma City Thunder,108,18203,Chesapeake Energy Arena
Wed Nov 22 2017,Milwaukee Bucks,113,Phoenix Suns,107,16270,Talking Stick Resort Arena
Wed Nov 22 2017,Chicago Bulls,80,Utah Jazz,110,17434,Vivint Smart Home Arena
Wed Nov 22 2017,Los Angeles Lakers,102,Sacramento Kings,113,17583,Golden 1 Center
Fri Nov 24 2017,Portland Trail Blazers,127,Brooklyn Nets,125,15246,Barclays Center
Fri Nov 24 2017,New York Knicks,104,Atlanta Hawks,116,14355,Philips Arena
Fri Nov 24 2017,Orlando Magic,103,Boston Celtics,118,18624,TD Garden
Fri Nov 24 2017,Charlotte Hornets,99,Cleveland Cavaliers,100,20562,Quicken Loans Arena
Fri Nov 24 2017,Toronto Raptors,104,Indiana Pacers,107,16523,Bankers Life Fieldhouse
Fri Nov 24 2017,Miami Heat,109,Minnesota Timberwolves,97,18978,Target Center
Fri Nov 24 2017,Detroit Pistons,99,Oklahoma City Thunder,98,18203,Chesapeake Energy Arena
Fri Nov 24 2017,Memphis Grizzlies,92,Denver Nuggets,104,16736,Pepsi Center
Fri Nov 24 2017,New Orleans Pelicans,115,Phoenix Suns,91,16574,Talking Stick Resort Arena
Fri Nov 24 2017,Chicago Bulls,94,Golden State Warriors,143,19596,Oracle Arena
Sat Nov 25 2017,San Antonio Spurs,106,Charlotte Hornets,86,18597,Spectrum Center
Sat Nov 25 2017,Orlando Magic,111,Philadelphia 76ers,130,20585,Wells Fargo Center
Sat Nov 25 2017,Portland Trail Blazers,108,Washington Wizards,105,18092,Capital One Arena
Sat Nov 25 2017,Toronto Raptors,112,Atlanta Hawks,78,12278,Philips Arena
Sat Nov 25 2017,New York Knicks,102,Houston Rockets,117,18055,Toyota Center
Sat Nov 25 2017,Boston Celtics,108,Indiana Pacers,98,16303,Bankers Life Fieldhouse
Sat Nov 25 2017,Oklahoma City Thunder,81,Dallas Mavericks,97,20340,American Airlines Center
Sat Nov 25 2017,New Orleans Pelicans,95,Golden State Warriors,110,19596,Oracle Arena
Sat Nov 25 2017,Milwaukee Bucks,108,Utah Jazz,121,17298,Vivint Smart Home Arena
Sat Nov 25 2017,Los Angeles Clippers,97,Sacramento Kings,95,17583,Golden 1 Center
Sun Nov 26 2017,Miami Heat,100,Chicago Bulls,93,20928,United Center
Sun Nov 26 2017,Phoenix Suns,108,Minnesota Timberwolves,119,16448,Target Center
Sun Nov 26 2017,Brooklyn Nets,98,Memphis Grizzlies,88,14889,FedEx Forum
Mon Nov 27 2017,Orlando Magic,109,Indiana Pacers,121,12501,Bankers Life Fieldhouse
Mon Nov 27 2017,Cleveland Cavaliers,113,Philadelphia 76ers,91,20527,Wells Fargo Center
Mon Nov 27 2017,Detroit Pistons,118,Boston Celtics,108,18624,TD Garden
Mon Nov 27 2017,Portland Trail Blazers,103,New York Knicks,91,18409,Madison Square Garden (IV)
Mon Nov 27 2017,Brooklyn Nets,103,Houston Rockets,117,16189,Toyota Center
